,,,,,Marketwise Price & Arrival Report (21-11-2025),,,,
,,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,Variety,MSP (Rs./Quintal) 2025-26,"Price on 21 Nov, 2025","Price on 20 Nov, 2025","Price on 19 Nov, 2025","Arrival on 21 Nov, 2025","Arrival on 20 Nov, 2025","Arrival on 19 Nov, 2025"
Cereals,Bajra(Pearl Millet/Cumbu),Bold,2775.00,2003.35,2375.14,2819.31,8.80,105.50,141.60
Cereals,Bajra(Pearl Millet/Cumbu),Deshi,2775.00,2273.24,2054.85,2139.47,19.30,32.11,16.65
Cereals,Bajra(Pearl Millet/Cumbu),Hybrid,2775.00,2741.01,2755.83,2764.07,4565.25,5136.05,4341.90
Cereals,Bajra(Pearl Millet/Cumbu),Local,2775.00,2524.57,2535.40,2022.69,138.10,282.10,30.90
Cereals,Bajra(Pearl Millet/Cumbu),Millet,2775.00,2039.81,2053.89,2033.41,60.53,86.65,73.36
Cereals,Bajra(Pearl Millet/Cumbu),Other,2775.00,2774.81,2540.06,2737.26,554.35,440.31,559.45
Cereals,Bajra(Pearl Millet/Cumbu),Pattu Bajra (Sweet),2775.00,-,1988.00,-,-,2.50,-
Cereals,Barley(Jau),Barley,1980.00,2317.38,2374.44,2192.20,32.43,30.23,59.78
Cereals,Barley(Jau),Dara,1980.00,2323.44,2300.17,2341.00,150.80,152.30,105.50
Cereals,Barley(Jau),Deshi,1980.00,2261.38,-,3135.00,17.72,-,0.09
Cereals,Barley(Jau),Local,1980.00,2500.00,-,-,48.90,-,-
Cereals,Barley(Jau),Other,1980.00,2087.98,2550.00,2087.87,49.90,17.00,43.70
Cereals,Jowar(Sorghum),Jowar ( White),3699.00,3683.71,4079.71,3946.76,82.21,52.28,33.19
Cereals,Jowar(Sorghum),Jowar (Yellow),3699.00,2333.36,2088.10,2617.46,137.61,107.60,36.59
Cereals,Jowar(Sorghum),Jowar Hybrid,3699.00,-,1880.00,3699.00,-,3.50,18.80
Cereals,Jowar(Sorghum),Local,3699.00,2505.76,3114.71,2790.00,3.70,3.74,1.35
Cereals,Jowar(Sorghum),Other,3699.00,4586.23,4808.11,5017.38,90.86,116.79,80.90
Cereals,Maize,Deshi Red,2400.00,1764.03,1800.30,1868.00,2384.55,1763.87,2246.94
Cereals,Maize,Deshi White,2400.00,1665.00,1688.33,1651.96,3.60,26.16,15.47
Cereals,Maize,Hybrid,2400.00,1787.01,1865.88,2132.44,440.30,613.40,193.20
Cereals,Maize,Hybrid Yellow (Cattle Feed),2400.00,2235.00,1718.92,2255.00,15.00,31.08,12.00
Cereals,Maize,Hybrid/Local,2400.00,2239.69,2296.49,2274.99,777.00,292.00,846.90
Cereals,Maize,Local,2400.00,1535.70,1549.23,1545.33,53074.83,39620.21,49085.41
Cereals,Maize,Maize/Corn-Organic,2400.00,1600.66,1418.34,1608.78,320.36,127.24,173.41
Cereals,Maize,Medium,2400.00,-,2200.00,-,-,7.00,-
Cereals,Maize,Other,2400.00,1919.03,2055.98,1834.95,490.30,205.13,392.00
Cereals,Maize,Popcorn,2400.00,1530.00,1556.42,-,6.98,51.90,-
Cereals,Maize,Sweet Corn (For Biscuits),2400.00,1481.00,-,-,2.67,-,-
Cereals,Maize,White (SAFED),2400.00,2700.00,2650.00,-,15.40,43.40,-
Cereals,Maize,Yellow,2400.00,1624.23,1691.86,1685.87,13738.92,11243.44,15437.94
Cereals,Paddy(Common),1001,2369.00,2409.56,2369.74,2387.20,335.00,333.10,3212.70
Cereals,Paddy(Common),1121,2369.00,3097.07,2922.09,2928.68,55.07,42.71,27.72
Cereals,Paddy(Common),B P T,2369.00,2310.30,2369.01,2350.01,53.01,14.77,8.61
Cereals,Paddy(Common),Basmati,2369.00,3141.62,3012.26,3111.39,6846.99,5656.66,5776.16
Cereals,Paddy(Common),Basmati 1509,2369.00,2616.02,2526.02,2604.16,2737.73,286.79,3481.08
Cereals,Paddy(Common),Common,2369.00,2159.85,2210.97,2206.74,26668.85,24152.26,23800.85
Cereals,Paddy(Common),D.B.,2369.00,3345.59,3308.27,3287.77,3360.80,4622.70,3894.00
Cereals,Paddy(Common),Dhan,2369.00,2855.17,2869.16,2769.19,10559.34,6088.44,9438.56
Cereals,Paddy(Common),Fine,2369.00,2059.31,2070.28,2003.18,5913.00,3596.50,3366.70
Cereals,Paddy(Common),HMT,2369.00,-,-,2300.00,-,-,0.30
Cereals,Paddy(Common),I.R. 36,2369.00,2390.73,2391.06,2387.34,181.25,181.20,113.75
Cereals,Paddy(Common),I.R. 64,2369.00,2356.27,2390.00,-,43.20,14.00,-
Cereals,Paddy(Common),I.R. 8,2369.00,2369.00,2369.00,-,60.00,60.00,-
Cereals,Paddy(Common),I.R.-64,2369.00,2369.00,2369.00,2369.00,0.00,61.20,0.00
Cereals,Paddy(Common),Kranti,2369.00,2276.58,2224.53,2099.14,1868.23,165.49,1056.15
Cereals,Paddy(Common),MTU-1010,2369.00,2386.25,2389.55,2389.17,331.54,218.22,189.31
